word,decade,betweenness,closeness,clusterrank,constraint,degree,diffusion,dmnc,hubs,laplacian,lobby,mnc,pagerank,topocoefficient,transitivity,zipf,spectral_diversity,nonzero_eigenvalues,entropy,condition_number
comfortable,1940,6.09104242411987e-06,0.403525470316776,228745.129258418,0.0028026810760543,0.0365728374768851,1267768.0,2.23465862752346,0.117313879229067,3675092.0,492.0,533.0,3.95299657172963e-05,0.0429890903232231,0.180507554063395,4.58067042932319,141.8948211669922,6.0,1.3895304203033447,195.21694946289065
comfortable,1950,7.11535231167075e-06,0.409643514999036,236981.063831048,0.0023447208258805,0.043607532210109,1525166.0,2.14800797708586,0.121116807252784,4677232.0,578.0,637.0,4.0603872615388e-05,0.042287104087753,0.155445632534581,4.55556947445768,129.153564453125,7.0,1.4707791805267334,165.3226776123047
comfortable,1960,7.00445416653293e-06,0.417835511811456,269700.530357975,0.0020557122061989,0.0496064870021464,1762206.0,2.09286913863663,0.139410074529699,5642892.0,643.0,727.0,4.11644375820971e-05,0.0424054314196888,0.153110446720551,4.5999662257536,140.06640625,6.0,1.4916833639144895,186.5931396484375
comfortable,1970,6.51897513404345e-06,0.414087307178998,271526.335204614,0.0021725121826682,0.0467203917168214,1684772.0,2.06712469847807,0.121229003081076,5256046.0,620.0,686.0,3.90647793038356e-05,0.0428353156722243,0.161230873997148,4.61435388500327,137.30279541015625,6.0,1.4633936882019043,215.1253204345703
comfortable,1980,1.918041698748e-05,0.415476474751361,258500.000007496,0.0020537235109573,0.0499471188291085,1701302.0,1.99138810973004,0.113779453732713,5544436.0,646.0,731.0,3.9629068660341e-05,0.0405193463366324,0.152007945580271,4.66034913571612,140.25059509277344,5.0,1.4768487215042114,196.282470703125
comfortable,1990,1.56288526317882e-05,0.413935194163926,248420.716351723,0.0019885055362306,0.05036633157267,1699434.0,1.962281908979,0.111241431475538,5581874.0,650.0,738.0,3.75016461677291e-05,0.0399722400798666,0.14624218155343,4.7093719644997,141.54702758789062,6.0,1.455544114112854,191.4142913818359
comfortable,2000,4.08236632044212e-05,0.419215374674014,222225.273370386,0.001830073888909,0.0536839595326498,1731296.0,1.90157303315345,0.090362762634232,5944792.0,690.0,787.0,3.46182061231562e-05,0.0380555011837878,0.128416281107436,4.76428483933018,158.68362426757812,6.0,1.4561823606491089,249.59434509277344
uncomfortable,1820,1.2393189087546e-06,0.393715074942876,295463.004016064,0.0079022050070056,0.0120933959858668,836192.0,2.85757908237243,0.0649837684255487,1782276.0,166.0,166.0,1.98050549935529e-05,0.10052719865804,0.353413654618474,3.66490506570381,44.15367126464844,8.0,0.9644019603729248,25.25456047058105
uncomfortable,1830,1.43666394060309e-06,0.39339407482165,267289.170484213,0.0064399980036713,0.0142791503198671,869652.0,2.74905691345237,0.0677460091390511,1902116.0,203.0,202.0,2.102602282281e-05,0.0833593300034573,0.307423279641397,3.86910703967151,71.47808074951172,5.0,0.9704247117042542,56.09737014770508
uncomfortable,1840,1.39821321976737e-07,0.395306991680268,281585.762567116,0.0060772584996186,0.0155442261756212,918760.0,2.64958372855352,0.0698483320438659,2027180.0,219.0,218.0,2.09358229004393e-05,0.0823209499073315,0.30655730774109,3.74283099281605,55.61687469482422,5.0,0.8879647850990295,43.314697265625
