"key","denote1","denote2","pvalue","warning","t1","t2"
"zipf_1950_~_spectral_diversity_2000",0.45610834081253,0.474103213096798,0.10458240806327,NA,-0.00848412224034244,-0.065550416739414
"zipf_1950_~_entropy_2000",0.440888613435064,0.37098760085568,0.00115220369774005,NA,-0.0706671005312393,-0.0115508615631217
"spectral_diversity_1950_~_betweenness_2000",0.349688066921816,0.798239627256516,0,NA,-3.63404625183528e-06,-0.0487278729858226
"spectral_diversity_1950_~_zipf_2000",0.51223974268378,0.493135845408919,0.319530574750776,NA,-0.0398565221162024,-0.0121896694573649
"spectral_diversity_1950_~_spectral_diversity_2000",0.921356802712695,0.924382111076653,0.796799191359883,NA,-0.0241144617853683,-0.0238655286314447
"entropy_1950_~_betweenness_2000",0.262083740455914,0.567517584499202,0,NA,-3.33684977004891e-06,-0.183882800864959
"entropy_1950_~_zipf_2000",0.329952058551299,0.366314203983421,0.0250663505222759,NA,-0.05394730466823,-0.090396780694875
"entropy_1950_~_entropy_2000",0.592688861159768,0.591588438081912,0.812192891504996,NA,-0.157124837229013,-0.153283237438056
"betweenness_1960_~_betweenness_1970",0.99,0.99,0.999974591341923,NA,-4.56155325066787e-07,-4.49627852890889e-07
"betweenness_1960_~_zipf_1970",0.696331639066025,0.541895366748698,0,NA,-0.193150970757034,-2.21300141063649e-07
"betweenness_1960_~_spectral_diversity_1970",0.84493606214299,0.374006099486502,1.82720505392808e-11,NA,-0.0847277664570674,-1.16578825724983e-07
"betweenness_1960_~_entropy_1970",0.535920427927516,0.155023943140714,0,NA,-0.300668820307282,-6.0088866784088e-08
"zipf_1960_~_betweenness_1970",0.596773702449183,0.750085244687719,0,NA,-4.73258113967638e-07,-0.143446419026454
"zipf_1960_~_zipf_1970",0.669261671392562,0.668945011879061,0.916676732972163,NA,-0.146022489562476,-0.144603384882326
"zipf_1960_~_spectral_diversity_1970",0.507756389976803,0.524548484028276,0.423648106609643,NA,-0.0122663136951272,-0.0346197590450961
"zipf_1960_~_entropy_1970",0.423825789638485,0.371627441583934,0.0189669694612487,NA,-0.0696086919685305,-0.0309504307733761
"spectral_diversity_1960_~_betweenness_1970",0.324058760668918,0.828763731538555,0,NA,-1.65805138181948e-07,-0.0710879528613534
"spectral_diversity_1960_~_zipf_1970",0.49697231534539,0.484883029289167,0.488368604492852,NA,-0.0385600501653534,-0.0168683237385185
"spectral_diversity_1960_~_spectral_diversity_1970",0.932539179041081,0.933012385239531,0.71099292606325,NA,-0.0327219127884712,-0.0288461034447245
"entropy_1960_~_betweenness_1970",0.168880097153232,0.560730357505918,0,NA,-2.63357720109977e-07,-0.230083511321108
"entropy_1960_~_zipf_1970",0.306969344879944,0.353446779265581,0.124709504975287,NA,-0.0573088648798683,-0.0672330119501275
"entropy_1960_~_entropy_1970",0.616579073882501,0.616095773734035,0.856847864815671,NA,-0.148871676044115,-0.152949779969264
"betweenness_1960_~_betweenness_1980",0.99,0.99,0.995317389614764,NA,-9.12527867444275e-06,-3.25012902586301e-07
"betweenness_1960_~_zipf_1980",0.710302282279427,0.539133479787342,0,NA,-0.185131052531762,-2.07667088395131e-07
"betweenness_1960_~_spectral_diversity_1980",0.863807229185535,0.370455774855527,1.01543218278266e-11,NA,-0.0689183088188108,-1.06151975745399e-07
"betweenness_1960_~_entropy_1980",0.548097999252525,0.149287733490153,0,NA,-0.290059985262808,-5.84272617925044e-08
"zipf_1960_~_betweenness_1980",0.549902142822146,0.68724166171181,0,NA,-5.88714084994291e-07,-0.191123873472451
"zipf_1960_~_zipf_1980",0.836983495239273,0.835432962491064,0.754832621610952,NA,-0.0725618184466539,-0.0711345778279863
"zipf_1960_~_spectral_diversity_1980",0.495734128207055,0.509101171312309,0.427899384822965,NA,-0.0140731319841051,-0.0399912947517753
"zipf_1960_~_entropy_1980",0.379682442435099,0.327311855409125,0.103936011904721,NA,-0.0645915651115542,-0.0509449493970922
"spectral_diversity_1960_~_betweenness_1980",0.346469001842399,0.800976010562304,0,NA,-4.08306115301468e-07,-0.075612881103279
"spectral_diversity_1960_~_zipf_1980",0.492151363976968,0.476377310975864,0.364105640511296,NA,-0.0430463656296279,-0.0149558856134346
"spectral_diversity_1960_~_spectral_diversity_1980",0.906864255381886,0.907846123657338,0.594429363408672,NA,-0.038667169433086,-0.044262819643879
"entropy_1960_~_betweenness_1980",0.176631893312959,0.52927623747799,0,NA,-7.09732945819069e-07,-0.220396620223403
"entropy_1960_~_zipf_1980",0.306291890894375,0.353297473433387,0.126456503733219,NA,-0.0560998201576879,-0.0637086187530683
"entropy_1960_~_entropy_1980",0.706027102139035,0.705335061470925,0.667998552396208,NA,-0.111473389502439,-0.1197211054077
"betweenness_1960_~_betweenness_1990",0.99,0.99,0.996582995260393,NA,-2.33337625216583e-06,-1.91179399894876e-07
"betweenness_1960_~_zipf_1990",0.656643002767159,0.477219204324029,0,NA,-0.225980015876089,-1.80574647136351e-07
